Reformulation,LowerBound,Beta,Gamma,Theta,Instance,Simulation
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.691116531388019,-0.1865028198606919,14.334288137990816,0.7125545322346097,15_Vertices_0.6_Sparsity,1
['vertex_to_global_color'],2.3268326847560226,0.9912309010135837,1.2086471135086179,0.15946137491141035,15_Vertices_0.6_Sparsity,1
vertex_unique_color,2.316161339849809,0.9941106410086866,4.568751584624723,0.5704454907642159,15_Vertices_0.6_Sparsity,1
adjacent_vertex,2.2952372944097803,0.9997571467717902,2.8026293132863525,0.4901117798796217,15_Vertices_0.6_Sparsity,1
vertex_to_global_color,2.3268326847560226,0.9912309010135837,1.283811089683997,0.15946137491141035,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.328868658221878,0.9906814787739204,5.152187697301313,0.6028131279303416,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",6.450536739178544,-0.12158061410987127,4.20780649975211,0.5350842806742454,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.691116531388019,-0.1865028198606919,14.334288137990816,0.7125545322346097,15_Vertices_0.6_Sparsity,1
['vertex_to_global_color'],2.3268326847560226,0.9912309010135837,1.2086471135086179,0.15946137491141035,15_Vertices_0.6_Sparsity,1
vertex_unique_color,2.316161339849809,0.9941106410086866,4.568751584624723,0.5704454907642159,15_Vertices_0.6_Sparsity,1
adjacent_vertex,2.2952372944097803,0.9997571467717902,2.8026293132863525,0.4901117798796217,15_Vertices_0.6_Sparsity,1
vertex_to_global_color,2.3268326847560226,0.9912309010135837,1.283811089683997,0.15946137491141035,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.328868658221878,0.9906814787739204,5.152187697301313,0.6028131279303416,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",6.450536739178544,-0.12158061410987127,4.20780649975211,0.5350842806742454,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.691116531388019,-0.1865028198606919,14.334288137990816,0.7125545322346097,15_Vertices_0.6_Sparsity,1
['vertex_to_global_color'],2.3268326847560226,0.9912309010135837,1.2086471135086179,0.15946137491141035,15_Vertices_0.6_Sparsity,1
vertex_unique_color,2.316161339849809,0.9941106410086866,4.568751584624723,0.5704454907642159,15_Vertices_0.6_Sparsity,1
adjacent_vertex,2.2952372944097803,0.9997571467717902,2.8026293132863525,0.4901117798796217,15_Vertices_0.6_Sparsity,1
vertex_to_global_color,2.3268326847560226,0.9912309010135837,1.283811089683997,0.15946137491141035,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.328868658221878,0.9906814787739204,5.152187697301313,0.6028131279303416,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",6.450536739178544,-0.12158061410987127,4.20780649975211,0.5350842806742454,15_Vertices_0.6_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",6.691116531388019,-0.1865028198606919,14.334288137990816,0.7125545322346097,15_Vertices_0.6_Sparsity,1
['vertex_to_global_color'],2.3268326847560226,0.9912309010135837,1.2086471135086179,0.15946137491141035,15_Vertices_0.6_Sparsity,1
vertex_unique_color,2.3151466731382424,0.96962793041923,5.215739391665721,0.6601005867560771,15_Vertices_0.8_Sparsity,1
adjacent_vertex,2.2972270992012436,0.9949987926301891,1.7659499443082445,0.42523033309709424,15_Vertices_0.8_Sparsity,1
vertex_to_global_color,2.3455196955878517,0.9266252468616508,1.356353804052266,0.2171814671814672,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3331841424692414,0.944090149742073,5.176394547733506,0.6893910379165071,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",3.8496650753726382,-1.2029714338372075,2.883458094498585,0.5042787286063569,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color', 'adjacent_vertex']",3.953015580398115,-1.3492969788335945,12.142421849780577,0.747430706944877,15_Vertices_0.8_Sparsity,1
['vertex_to_global_color'],2.3455196955878517,0.9266252468616508,1.2926201880432855,0.2171814671814672,15_Vertices_0.8_Sparsity,1
vertex_unique_color,2.3151466731382424,0.96962793041923,5.215739391665721,0.6601005867560771,15_Vertices_0.8_Sparsity,1
adjacent_vertex,2.2972270992012436,0.9949987926301891,1.7659499443082445,0.42523033309709424,15_Vertices_0.8_Sparsity,1
vertex_to_global_color,2.3455196955878517,0.9266252468616508,1.356353804052266,0.2171814671814672,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'vertex_unique_color']",2.3331841424692414,0.944090149742073,5.176394547733506,0.6893910379165071,15_Vertices_0.8_Sparsity,1
"['vertex_to_global_color', 'adjacent_vertex']",3.8496650753726382,-1.2029714338372075,2.883458094498585,0.5042787286063569,15_Vertices_0.8_Sparsity,1
